2025-02-25 22:18:22,524 - INFO - Experiment Configuration:
2025-02-25 22:18:22,525 - INFO - model_selected: TimeLLM
2025-02-25 22:18:22,525 - INFO - conf_path: ./conf/TimeLLM.json
2025-02-25 22:18:22,525 - INFO - data_path: ../Data/SEAnet/data_250M_seed1184_len256_znorm.bin
2025-02-25 22:18:22,525 - INFO - llm_path: ../Model/
2025-02-25 22:18:22,525 - INFO - train_path: ./example/TimeLLM/sample/train.bin
2025-02-25 22:18:22,525 - INFO - val_path: ./example/TimeLLM/sample/val.bin
2025-02-25 22:18:22,525 - INFO - test_path: ./example/TimeLLM/sample/test.bin
2025-02-25 22:18:22,525 - INFO - train_indices_path: ./example/TimeLLM/sample/train_indices.bin
2025-02-25 22:18:22,525 - INFO - val_indices_path: ./example/TimeLLM/sample/val_indices.bin
2025-02-25 22:18:22,525 - INFO - test_indices_path: ./example/TimeLLM/sample/test_indices.bin
2025-02-25 22:18:22,525 - INFO - log_path: ./example/TimeLLM/log/example.log
2025-02-25 22:18:22,525 - INFO - model_path: ./example/TimeLLM/model/
2025-02-25 22:18:22,525 - INFO - device: cuda:3
2025-02-25 22:18:22,525 - INFO - GPUs: [3]
2025-02-25 22:18:22,525 - INFO - llm_type: gpt2
2025-02-25 22:18:22,525 - INFO - llm_layers: 6
2025-02-25 22:18:22,525 - INFO - epoch_max: 100
2025-02-25 22:18:22,525 - INFO - len_series: 256
2025-02-25 22:18:22,525 - INFO - len_reduce: 16
2025-02-25 22:18:22,525 - INFO - batch_size: 256
2025-02-25 22:18:22,525 - INFO - data_size: 1000000
2025-02-25 22:18:22,525 - INFO - train_size: 200000
2025-02-25 22:18:22,525 - INFO - val_size: 10000
2025-02-25 22:18:22,525 - INFO - test_size: 10000
2025-02-25 22:18:22,525 - INFO - patch_len: 16
2025-02-25 22:18:22,525 - INFO - stride: 8
2025-02-25 22:18:22,525 - INFO - head_num: 8
2025-02-25 22:18:22,525 - INFO - dim_model: 128
2025-02-25 22:18:22,525 - INFO - dim_llm: 768
2025-02-25 22:18:22,525 - INFO - dim_ff: 128
2025-02-25 22:18:22,525 - INFO - reduced_vocab_size: 1000
2025-02-27 14:26:00,667 - INFO - Model in epoch: 40 saved successfully.
2025-02-27 14:26:00,708 - INFO - epoch: 41, start training
2025-02-27 15:06:18,750 - INFO - epoch: 41, validate trans_err: 0.10051095
2025-02-27 15:06:18,791 - INFO - epoch: 42, start training
2025-02-27 15:46:39,101 - INFO - epoch: 42, validate trans_err: 0.09980617
2025-02-27 15:46:39,143 - INFO - epoch: 43, start training
2025-02-27 16:27:13,695 - INFO - epoch: 43, validate trans_err: 0.09926053
2025-02-27 16:27:13,737 - INFO - epoch: 44, start training
2025-02-27 17:09:11,642 - INFO - epoch: 44, validate trans_err: 0.09637965
2025-02-27 17:09:11,683 - INFO - epoch: 45, start training
2025-02-27 17:51:07,012 - INFO - epoch: 45, validate trans_err: 0.09985752
2025-02-27 17:51:07,053 - INFO - epoch: 46, start training
2025-02-27 18:32:49,853 - INFO - epoch: 46, validate trans_err: 0.10053986
2025-02-27 18:32:49,895 - INFO - epoch: 47, start training
2025-02-27 19:14:42,469 - INFO - epoch: 47, validate trans_err: 0.09882369
2025-02-27 19:14:42,511 - INFO - epoch: 48, start training
2025-02-27 19:56:23,985 - INFO - epoch: 48, validate trans_err: 0.09838461
2025-02-27 19:56:24,026 - INFO - epoch: 49, start training
2025-02-27 20:38:26,639 - INFO - epoch: 49, validate trans_err: 0.09817725
2025-02-27 20:38:26,695 - INFO - epoch: 50, start training
2025-02-27 21:19:44,459 - INFO - epoch: 50, validate trans_err: 0.09682338
2025-02-27 21:19:45,706 - INFO - Model in epoch: 50 saved successfully.
2025-02-27 21:19:45,765 - INFO - epoch: 51, start training
2025-02-27 22:06:03,670 - INFO - epoch: 51, validate trans_err: 0.09626143
2025-02-27 22:06:03,714 - INFO - epoch: 52, start training
2025-02-27 22:57:57,338 - INFO - epoch: 52, validate trans_err: 0.09579343
2025-02-27 22:57:57,405 - INFO - epoch: 53, start training
2025-02-27 23:39:06,923 - INFO - epoch: 53, validate trans_err: 0.09601188
2025-02-27 23:39:06,969 - INFO - epoch: 54, start training
2025-02-28 00:24:33,269 - INFO - epoch: 54, validate trans_err: 0.09678082
2025-02-28 00:24:33,361 - INFO - epoch: 55, start training
2025-02-28 01:09:03,376 - INFO - epoch: 55, validate trans_err: 0.09550724
2025-02-28 01:09:03,456 - INFO - epoch: 56, start training
2025-02-28 01:54:05,374 - INFO - epoch: 56, validate trans_err: 0.09358422
2025-02-28 01:54:05,452 - INFO - epoch: 57, start training
2025-02-28 02:36:45,513 - INFO - epoch: 57, validate trans_err: 0.09820862
2025-02-28 02:36:45,577 - INFO - epoch: 58, start training
2025-02-28 03:17:28,037 - INFO - epoch: 58, validate trans_err: 0.09421222
2025-02-28 03:17:28,079 - INFO - epoch: 59, start training
2025-02-28 03:59:37,219 - INFO - epoch: 59, validate trans_err: 0.09443066
2025-02-28 03:59:37,261 - INFO - epoch: 60, start training
2025-02-28 04:41:28,132 - INFO - epoch: 60, validate trans_err: 0.09451847
2025-02-28 04:41:29,297 - INFO - Model in epoch: 60 saved successfully.
2025-02-28 04:41:29,338 - INFO - epoch: 61, start training
2025-02-28 05:22:28,141 - INFO - epoch: 61, validate trans_err: 0.09659886
2025-02-28 05:22:28,181 - INFO - epoch: 62, start training
2025-02-28 06:04:24,535 - INFO - epoch: 62, validate trans_err: 0.09658217
2025-02-28 06:04:24,575 - INFO - epoch: 63, start training
2025-02-28 06:45:45,700 - INFO - epoch: 63, validate trans_err: 0.09390221
2025-02-28 06:45:45,741 - INFO - epoch: 64, start training
2025-02-28 07:27:24,689 - INFO - epoch: 64, validate trans_err: 0.09270456
2025-02-28 07:27:24,732 - INFO - epoch: 65, start training
2025-02-28 08:08:53,583 - INFO - epoch: 65, validate trans_err: 0.09358119
2025-02-28 08:08:53,624 - INFO - epoch: 66, start training
2025-02-28 08:51:42,414 - INFO - epoch: 66, validate trans_err: 0.09422426
2025-02-28 08:51:42,481 - INFO - epoch: 67, start training
2025-02-28 09:38:45,479 - INFO - epoch: 67, validate trans_err: 0.09261771
2025-02-28 09:38:45,520 - INFO - epoch: 68, start training
2025-02-28 10:24:04,305 - INFO - epoch: 68, validate trans_err: 0.09418376
2025-02-28 10:24:04,363 - INFO - epoch: 69, start training
2025-02-28 11:12:38,870 - INFO - epoch: 69, validate trans_err: 0.09336639
2025-02-28 11:12:38,964 - INFO - epoch: 70, start training
2025-02-28 12:04:10,355 - INFO - epoch: 70, validate trans_err: 0.09278048
2025-02-28 12:04:12,203 - INFO - Model in epoch: 70 saved successfully.
2025-02-28 12:04:12,261 - INFO - epoch: 71, start training
2025-02-28 12:56:12,054 - INFO - epoch: 71, validate trans_err: 0.09286960
2025-02-28 12:56:12,111 - INFO - epoch: 72, start training
2025-02-28 13:40:27,736 - INFO - epoch: 72, validate trans_err: 0.09227211
2025-02-28 13:40:27,793 - INFO - epoch: 73, start training
2025-02-28 14:23:35,676 - INFO - epoch: 73, validate trans_err: 0.09051444
