2025-02-27 16:55:48,379 - INFO - Experiment Configuration:
2025-02-27 16:55:48,380 - INFO - model_selected: AutoTimes
2025-02-27 16:55:48,380 - INFO - conf_path: ./conf/AutoTimes.json
2025-02-27 16:55:48,380 - INFO - data_path: ../Data/SEAnet/data_250M_seed1184_len256_znorm.bin
2025-02-27 16:55:48,380 - INFO - llm_path: ../Model/
2025-02-27 16:55:48,380 - INFO - train_path: ./example/AutoTimes/sample/train.bin
2025-02-27 16:55:48,381 - INFO - val_path: ./example/AutoTimes/sample/val.bin
2025-02-27 16:55:48,381 - INFO - test_path: ./example/AutoTimes/sample/test.bin
2025-02-27 16:55:48,381 - INFO - train_indices_path: ./example/AutoTimes/sample/train_indices.bin
2025-02-27 16:55:48,381 - INFO - val_indices_path: ./example/AutoTimes/sample/val_indices.bin
2025-02-27 16:55:48,381 - INFO - test_indices_path: ./example/AutoTimes/sample/test_indices.bin
2025-02-27 16:55:48,381 - INFO - log_path: ./example/AutoTimes/log/example.log
2025-02-27 16:55:48,381 - INFO - model_path: ./example/AutoTimes/model/
2025-02-27 16:55:48,381 - INFO - device: cuda:7
2025-02-27 16:55:48,381 - INFO - GPUs: [7]
2025-02-27 16:55:48,381 - INFO - llm_type: gpt2
2025-02-27 16:55:48,381 - INFO - llm_layers: 6
2025-02-27 16:55:48,381 - INFO - head_num: 8
2025-02-27 16:55:48,382 - INFO - dim_llm: 768
2025-02-27 16:55:48,382 - INFO - epoch_max: 100
2025-02-27 16:55:48,382 - INFO - len_series: 256
2025-02-27 16:55:48,382 - INFO - len_reduce: 16
2025-02-27 16:55:48,382 - INFO - batch_size: 512
2025-02-27 16:55:48,382 - INFO - data_size: 1000000
2025-02-27 16:55:48,382 - INFO - train_size: 200000
2025-02-27 16:55:48,382 - INFO - val_size: 10000
2025-02-27 16:55:48,382 - INFO - test_size: 10000
2025-02-27 16:55:48,382 - INFO - win_size: 16
2025-02-27 16:55:48,382 - INFO - stride: 16
2025-02-27 16:55:48,382 - INFO - mlp_layers: 2
2025-02-27 16:55:48,383 - INFO - mlp_dim: 512
2025-02-27 16:55:48,383 - INFO - in_channels: 1
2025-02-27 16:55:48,383 - INFO - out_channels: 4
2025-02-27 16:55:48,383 - INFO - activation: tanh
2025-02-27 16:55:48,383 - INFO - dropout: 0.1
2025-02-27 16:55:48,383 - INFO - Model loading...
2025-02-27 16:55:48,885 - INFO - Using 1 GPUs
2025-02-27 20:35:55,477 - INFO - epoch: 53, validate trans_err: 0.01925049
2025-02-27 20:35:55,502 - INFO - epoch: 54, start training
2025-02-27 20:39:59,961 - INFO - epoch: 54, validate trans_err: 0.01914820
2025-02-27 20:39:59,988 - INFO - epoch: 55, start training
2025-02-27 20:44:08,188 - INFO - epoch: 55, validate trans_err: 0.01927342
2025-02-27 20:44:08,214 - INFO - epoch: 56, start training
2025-02-27 20:48:12,093 - INFO - epoch: 56, validate trans_err: 0.01941577
2025-02-27 20:48:12,121 - INFO - epoch: 57, start training
2025-02-27 20:52:18,614 - INFO - epoch: 57, validate trans_err: 0.01934417
2025-02-27 20:52:18,639 - INFO - epoch: 58, start training
2025-02-27 20:56:23,377 - INFO - epoch: 58, validate trans_err: 0.01908096
2025-02-27 20:56:23,402 - INFO - epoch: 59, start training
2025-02-27 21:00:27,060 - INFO - epoch: 59, validate trans_err: 0.01912311
2025-02-27 21:00:27,085 - INFO - epoch: 60, start training
2025-02-27 21:04:32,670 - INFO - epoch: 60, validate trans_err: 0.01902592
2025-02-27 21:04:33,694 - INFO - Model in epoch: 60 saved successfully.
2025-02-27 21:04:33,719 - INFO - epoch: 61, start training
2025-02-27 21:08:38,241 - INFO - epoch: 61, validate trans_err: 0.01902761
2025-02-27 21:08:38,267 - INFO - epoch: 62, start training
2025-02-27 21:12:41,871 - INFO - epoch: 62, validate trans_err: 0.01896142
2025-02-27 21:12:41,896 - INFO - epoch: 63, start training
2025-02-27 21:16:45,656 - INFO - epoch: 63, validate trans_err: 0.01908810
2025-02-27 21:16:45,700 - INFO - epoch: 64, start training
2025-02-27 21:20:47,442 - INFO - epoch: 64, validate trans_err: 0.01914754
2025-02-27 21:20:47,467 - INFO - epoch: 65, start training
2025-02-27 21:24:51,847 - INFO - epoch: 65, validate trans_err: 0.01939595
2025-02-27 21:24:51,872 - INFO - epoch: 66, start training
2025-02-27 21:28:42,368 - INFO - epoch: 66, validate trans_err: 0.01915035
2025-02-27 21:28:42,393 - INFO - epoch: 67, start training
2025-02-27 21:32:10,132 - INFO - epoch: 67, validate trans_err: 0.01904176
2025-02-27 21:32:10,157 - INFO - epoch: 68, start training
2025-02-27 21:35:36,901 - INFO - epoch: 68, validate trans_err: 0.01889257
2025-02-27 21:35:36,927 - INFO - epoch: 69, start training
2025-02-27 21:39:03,521 - INFO - epoch: 69, validate trans_err: 0.01914129
2025-02-27 21:39:03,545 - INFO - epoch: 70, start training
2025-02-27 21:42:33,591 - INFO - epoch: 70, validate trans_err: 0.01940721
2025-02-27 21:42:34,726 - INFO - Model in epoch: 70 saved successfully.
2025-02-27 21:42:34,751 - INFO - epoch: 71, start training
